4.260000000000001,1,2,3
4.359999999999999,1,2,4
4.404999999999999,1,3,4
4.16,1,2,5
4.245000000000003,2,3,4
5.98,1,3,5
4.070000000000002,1,2,6
3.9800000000000004,2,3,5
4.374999999999998,1,4,5
4.024999999999999,1,3,6
4.269999999999994,1,2,7
4.020000000000001,2,4,5
4.669999999999998,2,3,6
4.529999999999999,1,4,6
3.710000000000001,1,3,7
3.280000000000001,1,2,8
4.135,3,4,5
4.155,2,4,6
4.1,1,5,6
4.76,2,3,7
4.259999999999996,1,4,7
4.100000000000005,1,3,8
3.755000000000001,1,2,9
4.494999999999999,3,4,6
4.214999999999998,2,5,6
3.7150000000000016,2,4,7
5.309999999999999,1,5,7
4.185000000000004,2,3,8
3.830000000000002,1,4,8
3.4049999999999976,1,3,9
4.355,1,2,10
3.5049999999999972,3,4,7
3.5900000000000016,3,5,6
4.955000000000002,2,5,7
5.884999999999998,1,6,7
3.8749999999999964,1,2,11
4.365000000000004,2,4,8
5.055000000000003,1,5,8
4.5799999999999965,2,3,9
4.3749999999999964,1,4,9
4.709999999999999,1,3,10
4.879999999999999,2,6,7
4.249999999999998,4,5,6
3.91,1,4,10
3.1199999999999974,3,5,7
3.724999999999998,3,4,8
4.870000000000001,1,3,11
4.405000000000001,2,5,8
4.170000000000007,1,6,8
4.0649999999999995,2,4,9
5.3100000000000005,1,5,9
4.489999999999998,2,3,10
4.3799999999999955,1,2,12
5.320000000000004,1,7,8
4.560000000000002,4,5,7
4.574999999999996,1,3,12
3.745000000000001,3,6,7
3.4999999999999982,1,2,13
5.120000000000001,3,5,8
4.215,2,6,8
4.4350000000000005,3,4,9
6.074999999999999,1,5,10
4.040000000000003,2,5,9
3.99,2,3,11
4.814999999999998,1,6,9
4.439999999999996,1,4,11
4.579999999999999,2,4,10
5.080000000000002,3,6,8
5.0600000000000005,4,6,7
3.6700000000000017,4,5,8
3.1400000000000023,2,4,11
5.655000000000001,1,5,11
4.620000000000001,2,7,8
5.265000000000002,1,6,10
4.514999999999992,1,4,12
4.939999999999998,3,5,9
4.529999999999998,2,6,9
3.479999999999997,1,7,9
4.470000000000001,3,4,10
4.235,2,5,10
4.505000000000001,2,3,12
4.439999999999998,1,2,14
5.335000000000001,1,3,13
3.8549999999999986,4,6,8
4.024999999999995,5,6,7
3.6850000000000023,2,5,11
4.285000000000002,3,4,11
3.6850000000000023,1,2,15
4.449999999999999,2,4,12
4.609999999999998,1,4,13
4.120000000000001,3,7,8
5.329999999999995,1,5,12
4.104999999999999,4,5,9
4.220000000000001,2,3,13
4.41,3,6,9
4.535,2,7,9
3.745000000000008,1,8,9
4.33,3,5,10
4.314999999999998,1,7,10
5.569999999999997,1,6,11
4.340000000000002,2,6,10
4.554999999999996,1,3,14
4.445000000000007,3,5,11
4.384999999999998,5,6,8
4.200000000000003,4,7,8
5.249999999999995,4,6,9
2.354999999999997,3,7,9
4.234999999999998,3,4,12
4.245000000000001,2,8,9
4.685,4,5,10
4.1999999999999975,2,3,14
4.299999999999996,16,1,2
2.6000000000000068,1,3,15
5.609999999999996,1,6,12
4.41,2,4,13
4.515000000000001,3,6,10
5.524999999999999,1,5,13
4.384999999999996,1,4,14
4.604999999999997,2,5,12
4.410000000000004,2,7,10
5.279999999999994,1,7,11
5.425000000000006,1,8,10
3.599999999999998,2,6,11
4.830000000000005,1,9,10
6.345000000000002,5,7,8
4.564999999999998,5,6,9
4.585000000000001,2,6,12
3.780000000000003,1,4,15
