-4.155000000000001,1,2,3,4
-3.980000000000002,1,2,3,5
-4.049999999999999,1,2,4,5
-4.244999999999999,1,2,3,6
-4.454999999999998,1,3,4,5
-4.3199999999999985,1,2,4,6
-4.354999999999997,1,2,3,7
-3.9700000000000024,2,3,4,5
-4.484999999999996,1,3,4,6
-3.9150000000000027,1,2,5,6
-4.2749999999999915,1,2,4,7
-3.2300000000000058,1,2,3,8
-4.490000000000002,2,3,4,6
-3.869999999999999,1,3,5,6
-3.9549999999999983,1,3,4,7
-5.384999999999998,1,2,5,7
-3.9700000000000024,1,2,4,8
-4.225,1,2,3,9
-4.1299999999999955,2,3,5,6
-4.284999999999997,1,4,5,6
-4.030000000000001,2,3,4,7
-4.779999999999998,1,3,5,7
-4.824999999999996,1,2,6,7
-3.7550000000000026,1,3,4,8
-3.5249999999999986,1,2,5,8
-4.019999999999996,1,2,4,9
-4.609999999999999,1,2,3,10
-5.149999999999999,1,4,5,7
-4.169999999999998,2,4,5,6
-4.5,2,3,5,7
-4.899999999999999,1,3,6,7
-4.165000000000006,2,3,4,8
-5.1100000000000065,1,3,5,8
-2.875000000000007,1,2,6,8
-4.47999999999999,1,3,4,9
-4.039999999999999,1,2,3,11
-3.7050000000000054,1,2,5,9
-4.900000000000004,1,2,4,10
-3.885,3,4,5,6
-4.255000000000006,2,4,5,7
-5.599999999999994,2,3,6,7
-3.775000000000002,1,2,6,9
-4.194999999999993,1,3,4,10
-5.190000000000001,1,4,6,7
-4.155000000000001,2,3,5,8
-5.304999999999996,1,3,5,9
-3.9649999999999928,1,2,4,11
-3.7900000000000063,1,4,5,8
-4.779999999999998,1,2,5,10
-4.414999999999996,1,2,3,12
-3.7800000000000082,1,3,6,8
-3.8699999999999974,1,2,7,8
-5.0000000000000036,2,3,4,9
-4.405000000000003,2,4,5,8
-3.8349999999999937,3,4,5,7
-4.100000000000005,2,4,6,7
-5.659999999999997,1,5,6,7
-5.8199999999999985,1,3,5,10
-4.074999999999996,1,3,6,9
-4.395000000000003,2,3,6,8
-4.955,2,3,4,10
-4.4700000000000095,1,2,6,10
-3.810000000000013,1,4,6,8
-3.8399999999999963,1,2,7,9
-4.425000000000008,1,3,7,8
