-3.3749999999999876,1,2,3,4,5,6
-4.509999999999998,1,2,3,4,5,7
-5.099999999999991,1,2,3,4,6,7
-3.6549999999999994,1,2,3,4,5,8
-5.749999999999989,1,2,3,5,6,7
-3.350000000000005,1,2,3,4,6,8
-3.7750000000000057,1,2,3,4,5,9
-4.889999999999983,1,2,4,5,6,7
-3.1299999999999955,1,2,3,5,6,8
-3.654999999999987,1,2,3,4,7,8
-4.204999999999984,1,2,3,4,6,9
-4.559999999999997,1,2,3,4,5,10
-5.029999999999994,1,3,4,5,6,7
-2.6749999999999865,1,2,4,5,6,8
-4.795000000000002,1,2,3,5,7,8
-3.16500000000001,1,2,3,5,6,9
-4.399999999999981,1,2,3,4,7,9
-5.014999999999997,1,2,3,4,6,10
-3.870000000000015,1,2,3,4,5,11
-5.035000000000007,1,2,3,6,7,8
-4.685000000000002,2,3,4,5,6,7
-3.400000000000002,1,3,4,5,6,8
-5.044999999999991,1,2,4,5,7,8
-3.504999999999992,1,2,4,5,6,9
-5.305,1,2,3,5,7,9
-4.129999999999985,1,2,3,4,5,12
-3.2300000000000004,1,2,3,4,8,9
-4.520000000000014,1,2,3,5,6,10
-3.8449999999999918,1,2,3,4,7,10
-4.084999999999983,1,2,3,4,6,11
-3.1149999999999984,1,2,3,5,8,9
-3.4549999999999876,2,3,4,5,6,8
-3.499999999999975,1,2,3,4,7,11
-4.364999999999981,1,2,3,4,6,12
-4.655000000000012,1,3,4,5,7,8
-4.189999999999991,1,2,4,6,7,8
-4.044999999999995,1,3,4,5,6,9
-3.7250000000000014,1,2,4,5,7,9
-4.844999999999988,1,2,3,6,7,9
-4.6699999999999875,1,2,4,5,6,10
-3.7550000000000097,1,2,3,4,5,13
-4.245000000000022,1,2,3,4,8,10
-4.86999999999999,1,2,3,5,7,10
-3.4950000000000117,1,2,3,5,6,11
-5.230000000000022,1,3,4,6,7,8
-4.899999999999999,1,2,5,6,7,8
-4.820000000000007,2,3,4,5,7,8
-4.1999999999999815,1,2,3,5,6,12
-4.529999999999994,2,3,4,5,6,9
-4.0249999999999915,1,2,4,5,6,11
-3.5899999999999928,1,2,3,4,8,11
-4.6949999999999825,1,2,3,4,7,12
-3.3049999999999855,1,2,3,4,6,13
-5.424999999999997,1,2,3,6,7,10
-4.669999999999991,1,2,3,4,9,10
-4.324999999999989,1,2,3,5,8,10
-4.5299999999999905,1,3,4,5,7,9
-3.0099999999999874,1,2,4,6,7,9
-5.730000000000011,1,2,3,5,7,11
